,support,itemsets
92,0.04341637010676157,"frozenset({'other vegetables', 'yogurt'})"
93,0.02094560244026436,"frozenset({'rolls/buns', 'pastry'})"
94,0.021047280122013217,"frozenset({'soda', 'pastry'})"
95,0.033248601931875954,"frozenset({'whole milk', 'pastry'})"
96,0.02043721403152008,"frozenset({'tropical fruit', 'pip fruit'})"
97,0.030096593797661414,"frozenset({'whole milk', 'pip fruit'})"
98,0.022165734621250637,"frozenset({'pork', 'whole milk'})"
99,0.024300965937976614,"frozenset({'rolls/buns', 'root vegetables'})"
100,0.030604982206405694,"frozenset({'rolls/buns', 'sausage'})"
101,0.03833248601931876,"frozenset({'rolls/buns', 'soda'})"
102,0.024605998983223184,"frozenset({'rolls/buns', 'tropical fruit'})"
103,0.05663446873411286,"frozenset({'rolls/buns', 'whole milk'})"
104,0.03436705643111337,"frozenset({'rolls/buns', 'yogurt'})"
105,0.021047280122013217,"frozenset({'root vegetables', 'tropical fruit'})"
106,0.048906964921199794,"frozenset({'root vegetables', 'whole milk'})"
107,0.025826131164209457,"frozenset({'yogurt', 'root vegetables'})"
108,0.024300965937976614,"frozenset({'sausage', 'soda'})"
109,0.0298932384341637,"frozenset({'sausage', 'whole milk'})"
110,0.024605998983223184,"frozenset({'shopping bags', 'soda'})"
111,0.024504321301474327,"frozenset({'shopping bags', 'whole milk'})"
112,0.020843924758515507,"frozenset({'tropical fruit', 'soda'})"
113,0.040061006609049314,"frozenset({'soda', 'whole milk'})"
114,0.027351296390442297,"frozenset({'yogurt', 'soda'})"
115,0.04229791560752415,"frozenset({'tropical fruit', 'whole milk'})"
116,0.029283172343670564,"frozenset({'yogurt', 'tropical fruit'})"
117,0.032231825114387394,"frozenset({'whipped/sour cream', 'whole milk'})"
118,0.02074224707676665,"frozenset({'yogurt', 'whipped/sour cream'})"
119,0.05602440264361973,"frozenset({'yogurt', 'whole milk'})"
120,0.023182511438739197,"frozenset({'other vegetables', 'root vegetables', 'whole milk'})"
121,0.02226741230299949,"frozenset({'other vegetables', 'yogurt', 'whole milk'})"
